index,date,temperature,precipitation,humidity,location
87,3/29,12.44,9.7,65.6,Kumamoto
88,3/30,13.34,3.1,59.2,Kumamoto
89,3/31,13.040000000000001,4.0,58.6,Kumamoto
90,4/1,14.64,6.1,57.2,Kumamoto
91,4/2,14.540000000000001,4.3,62.8,Kumamoto
92,4/3,12.9,2.5,64.4,Kumamoto
93,4/4,12.24,0.0,54.8,Kumamoto
94,4/5,14.62,1.2,57.4,Kumamoto
95,4/6,14.5,6.3,56.2,Kumamoto
96,4/7,12.520000000000001,0.1,51.6,Kumamoto
97,4/8,13.0,3.6,60.2,Kumamoto
98,4/9,15.059999999999999,0.2,58.8,Kumamoto
99,4/10,15.459999999999999,0.0,59.2,Kumamoto
100,4/11,15.559999999999999,8.6,67.4,Kumamoto
101,4/12,14.560000000000002,7.1,66.4,Kumamoto
102,4/13,12.66,5.9,71.2,Kumamoto
103,4/14,13.720000000000002,2.5,61.2,Kumamoto
104,4/15,14.86,0.3,63.6,Kumamoto
105,4/16,16.339999999999996,0.0,64.6,Kumamoto
106,4/17,16.4,12.7,66.6,Kumamoto
107,4/18,16.84,1.4,65.8,Kumamoto
108,4/19,15.0,7.0,63.2,Kumamoto
109,4/20,15.36,8.6,73.8,Kumamoto
110,4/21,16.580000000000002,2.3,67.6,Kumamoto
111,4/22,16.38,13.2,69.6,Kumamoto
112,4/23,15.320000000000002,4.0,64.8,Kumamoto
113,4/24,15.839999999999998,1.8,63.8,Kumamoto
114,4/25,16.5,6.0,59.0,Kumamoto
115,4/26,17.300000000000004,0.4,56.2,Kumamoto
116,4/27,16.72,7.0,62.8,Kumamoto
117,4/28,16.759999999999998,3.6,57.8,Kumamoto
118,4/29,17.060000000000002,0.3,61.0,Kumamoto
119,4/30,16.88,7.9,73.4,Kumamoto
120,5/1,17.580000000000002,2.7,69.0,Kumamoto
121,5/2,17.5,4.9,65.2,Kumamoto
122,5/3,18.300000000000004,0.4,64.2,Kumamoto
123,5/4,18.860000000000003,0.0,60.4,Kumamoto
124,5/5,18.82,0.8,62.0,Kumamoto
125,5/6,18.84,0.5,61.8,Kumamoto
126,5/7,19.84,0.2,61.2,Kumamoto
127,5/8,20.78,0.0,59.4,Kumamoto
128,5/9,22.02,0.0,60.4,Kumamoto
129,5/10,20.299999999999997,15.0,72.2,Kumamoto
130,5/11,20.360000000000003,2.2,68.0,Kumamoto
131,5/12,19.04,10.6,69.4,Kumamoto
132,5/13,19.4,0.0,58.8,Kumamoto
133,5/14,18.98,9.2,63.0,Kumamoto
134,5/15,19.7,1.9,66.2,Kumamoto
135,5/16,20.9,0.0,58.2,Kumamoto
136,5/17,20.7,0.0,58.4,Kumamoto
137,5/18,21.1,3.9,58.4,Kumamoto
138,5/19,21.04,8.7,70.8,Kumamoto
139,5/20,20.78,5.2,74.8,Kumamoto
140,5/21,21.779999999999998,0.3,66.4,Kumamoto
141,5/22,22.84,5.2,63.2,Kumamoto
142,5/23,21.6,35.5,71.8,Kumamoto
143,5/24,21.74,1.3,63.8,Kumamoto
144,5/25,21.4,3.1,67.0,Kumamoto
145,5/26,20.7,2.2,71.0,Kumamoto
146,5/27,20.9,0.2,64.0,Kumamoto
147,5/28,21.3,11.3,68.8,Kumamoto
148,5/29,22.68,5.2,65.6,Kumamoto
149,5/30,21.860000000000003,0.7,64.8,Kumamoto
150,5/31,22.28,0.3,64.0,Kumamoto
151,6/1,22.02,8.1,69.0,Kumamoto
152,6/2,21.2,3.6,72.2,Kumamoto
153,6/3,23.26,0.8,63.0,Kumamoto
154,6/4,22.740000000000002,11.5,67.6,Kumamoto
155,6/5,21.72,5.0,74.2,Kumamoto
156,6/6,23.000000000000004,0.1,67.2,Kumamoto
157,6/7,21.96,6.0,73.8,Kumamoto
158,6/8,22.78,2.1,75.2,Kumamoto
159,6/9,23.76,4.0,69.8,Kumamoto
160,6/10,23.8,8.9,71.4,Kumamoto
161,6/11,24.42,30.8,71.8,Kumamoto
162,6/12,23.859999999999996,43.9,72.8,Kumamoto
163,6/13,24.060000000000002,2.4,72.2,Kumamoto
164,6/14,24.52,0.7,69.8,Kumamoto
165,6/15,22.919999999999998,20.9,80.8,Kumamoto
166,6/16,23.639999999999997,42.2,79.2,Kumamoto
167,6/17,23.220000000000006,18.2,82.4,Kumamoto
168,6/18,23.04,35.0,88.2,Kumamoto
169,6/19,24.360000000000003,13.5,83.8,Kumamoto
170,6/20,24.380000000000003,40.6,83.8,Kumamoto
171,6/21,22.66,44.0,90.0,Kumamoto
172,6/22,24.04,10.3,81.6,Kumamoto
173,6/23,23.84,4.8,82.2,Kumamoto
174,6/24,24.279999999999998,54.4,80.0,Kumamoto
175,6/25,24.16,11.5,82.6,Kumamoto
176,6/26,25.300000000000004,18.3,78.2,Kumamoto
177,6/27,24.26,31.1,83.0,Kumamoto
178,6/28,25.28,3.9,79.8,Kumamoto
179,6/29,25.24,18.3,78.0,Kumamoto
180,6/30,24.9,24.0,82.4,Kumamoto
181,7/1,25.300000000000004,9.5,82.0,Kumamoto
182,7/2,25.6,6.5,82.8,Kumamoto
183,7/3,25.54,40.7,87.8,Kumamoto
184,7/4,25.1,21.3,88.8,Kumamoto
185,7/5,26.24,1.4,78.8,Kumamoto
186,7/6,25.38,38.7,86.6,Kumamoto
187,7/7,26.98,21.1,79.0,Kumamoto
188,7/8,27.939999999999998,0.0,69.8,Kumamoto
189,7/9,27.3,9.3,74.0,Kumamoto
190,7/10,27.060000000000002,5.6,74.8,Kumamoto
191,7/11,27.4,4.2,74.6,Kumamoto
192,7/12,26.82,51.5,78.8,Kumamoto
193,7/13,26.68,24.5,83.6,Kumamoto
194,7/14,26.9,36.5,80.4,Kumamoto
195,7/15,27.959999999999997,2.6,75.4,Kumamoto
196,7/16,28.2,3.4,73.6,Kumamoto
197,7/17,28.54,1.2,70.8,Kumamoto
198,7/18,28.440000000000005,3.8,71.0,Kumamoto
199,7/19,28.439999999999998,4.8,72.2,Kumamoto
200,7/20,27.419999999999998,5.2,75.2,Kumamoto
201,7/21,27.619999999999997,3.0,73.8,Kumamoto
202,7/22,28.160000000000004,0.8,72.2,Kumamoto
203,7/23,28.52,0.0,71.4,Kumamoto
204,7/24,29.139999999999997,0.4,69.8,Kumamoto
205,7/25,29.440000000000005,0.6,71.6,Kumamoto
206,7/26,28.9,2.3,73.6,Kumamoto
207,7/27,28.8,0.0,73.8,Kumamoto
208,7/28,28.3,2.8,71.6,Kumamoto
209,7/29,28.560000000000002,8.1,73.6,Kumamoto
210,7/30,28.959999999999997,4.7,73.8,Kumamoto
211,7/31,29.080000000000002,1.5,71.0,Kumamoto
212,8/1,28.98,4.6,72.8,Kumamoto
213,8/2,28.78,2.2,74.4,Kumamoto
214,8/3,29.560000000000002,0.3,68.8,Kumamoto
215,8/4,28.659999999999997,15.5,72.0,Kumamoto
216,8/5,28.24,15.5,77.0,Kumamoto
217,8/6,28.619999999999997,6.9,75.2,Kumamoto
218,8/7,29.4,1.2,68.0,Kumamoto
219,8/8,29.139999999999997,1.7,71.2,Kumamoto
220,8/9,28.560000000000002,0.8,73.2,Kumamoto
221,8/10,29.220000000000006,0.2,70.2,Kumamoto
222,8/11,28.46,3.4,75.2,Kumamoto
223,8/12,28.74,0.0,73.6,Kumamoto
224,8/13,28.660000000000004,1.1,74.8,Kumamoto
225,8/14,27.919999999999998,15.7,80.0,Kumamoto
226,8/15,28.160000000000004,18.0,79.2,Kumamoto
227,8/16,28.660000000000004,2.5,76.0,Kumamoto
228,8/17,29.179999999999996,5.4,72.2,Kumamoto
229,8/18,28.4,5.7,75.2,Kumamoto
230,8/19,28.339999999999996,7.3,74.4,Kumamoto
231,8/20,28.860000000000003,4.0,72.2,Kumamoto
232,8/21,28.659999999999997,13.9,73.0,Kumamoto
233,8/22,28.46,17.5,75.0,Kumamoto
234,8/23,28.52,4.1,75.4,Kumamoto
235,8/24,28.380000000000003,9.4,74.8,Kumamoto
236,8/25,28.1,39.4,73.8,Kumamoto
237,8/26,27.659999999999997,20.5,74.8,Kumamoto
238,8/27,27.880000000000003,10.8,69.8,Kumamoto
239,8/28,27.979999999999997,6.7,69.4,Kumamoto
240,8/29,27.399999999999995,4.6,76.6,Kumamoto
241,8/30,26.96,27.7,78.6,Kumamoto
242,8/31,27.500000000000007,7.2,72.2,Kumamoto
243,9/1,27.259999999999998,20.6,72.0,Kumamoto
244,9/2,27.080000000000002,3.6,73.2,Kumamoto
245,9/3,26.379999999999995,13.0,76.6,Kumamoto
246,9/4,26.28,17.6,75.4,Kumamoto
247,9/5,26.24,4.7,72.4,Kumamoto
248,9/6,26.28,1.7,71.4,Kumamoto
249,9/7,26.860000000000003,0.7,72.0,Kumamoto
250,9/8,26.78,0.0,70.6,Kumamoto
251,9/9,26.98,0.0,68.0,Kumamoto
252,9/10,27.5,0.0,67.0,Kumamoto
253,9/11,27.720000000000006,0.0,66.6,Kumamoto
254,9/12,27.28,2.7,69.0,Kumamoto
255,9/13,26.359999999999996,2.5,71.4,Kumamoto
256,9/14,26.660000000000004,3.0,66.8,Kumamoto
257,9/15,26.26,0.6,69.2,Kumamoto
258,9/16,25.7,7.7,67.6,Kumamoto
259,9/17,25.7,1.3,62.0,Kumamoto
260,9/18,25.080000000000002,3.2,63.0,Kumamoto
261,9/19,24.119999999999997,3.4,68.8,Kumamoto
262,9/20,23.38,3.4,73.2,Kumamoto
263,9/21,23.84,0.2,71.2,Kumamoto
264,9/22,23.04,7.2,74.4,Kumamoto
265,9/23,22.900000000000002,5.3,67.0,Kumamoto
266,9/24,22.94,3.5,66.0,Kumamoto
267,9/25,23.32,0.4,65.4,Kumamoto
268,9/26,23.0,0.0,60.2,Kumamoto
269,9/27,22.98,7.4,65.8,Kumamoto
270,9/28,23.86,0.0,65.0,Kumamoto
271,9/29,22.4,3.6,73.8,Kumamoto
272,9/30,21.6,4.8,79.2,Kumamoto
273,10/1,22.0,4.8,72.4,Kumamoto
274,10/2,22.080000000000002,0.2,72.2,Kumamoto
275,10/3,21.779999999999998,5.4,68.4,Kumamoto
276,10/4,21.360000000000003,0.0,62.6,Kumamoto
277,10/5,20.139999999999997,7.7,74.6,Kumamoto
278,10/6,20.919999999999998,0.0,66.6,Kumamoto
279,10/7,21.04,1.0,62.4,Kumamoto
280,10/8,21.580000000000002,0.8,68.2,Kumamoto
281,10/9,22.46,1.6,70.6,Kumamoto
282,10/10,23.020000000000003,0.0,68.4,Kumamoto
283,10/11,21.82,1.2,69.2,Kumamoto
284,10/12,21.240000000000002,0.0,63.6,Kumamoto
285,10/13,21.519999999999996,3.6,63.2,Kumamoto
286,10/14,20.56,9.7,67.6,Kumamoto
287,10/15,19.48,0.7,68.2,Kumamoto
288,10/16,18.439999999999998,0.0,62.4,Kumamoto
289,10/17,17.839999999999996,5.5,67.4,Kumamoto
290,10/18,18.299999999999997,0.8,62.0,Kumamoto
291,10/19,19.060000000000002,0.4,60.2,Kumamoto
292,10/20,20.279999999999998,0.6,67.8,Kumamoto
293,10/21,20.379999999999995,11.7,73.6,Kumamoto
294,10/22,20.7,9.2,70.6,Kumamoto
295,10/23,19.4,8.1,69.0,Kumamoto
296,10/24,18.46,15.4,77.4,Kumamoto
297,10/25,18.18,5.1,76.2,Kumamoto
298,10/26,16.839999999999996,1.3,67.8,Kumamoto
299,10/27,16.04,0.1,68.0,Kumamoto
300,10/28,16.0,5.3,66.8,Kumamoto
301,10/29,16.18,3.1,68.8,Kumamoto
302,10/30,17.0,4.5,72.4,Kumamoto
303,10/31,17.16,0.2,71.4,Kumamoto
304,11/1,16.639999999999997,1.1,71.2,Kumamoto
305,11/2,16.16,0.1,71.2,Kumamoto
306,11/3,15.679999999999998,0.9,69.8,Kumamoto
307,11/4,15.320000000000002,1.4,71.6,Kumamoto
308,11/5,15.379999999999999,2.5,76.4,Kumamoto
309,11/6,15.84,2.8,76.4,Kumamoto
310,11/7,16.580000000000002,1.7,72.4,Kumamoto
311,11/8,15.6,0.0,69.8,Kumamoto
312,11/9,15.460000000000003,3.8,66.6,Kumamoto
313,11/10,15.38,6.0,69.4,Kumamoto
314,11/11,15.080000000000002,2.2,71.4,Kumamoto
315,11/12,14.440000000000001,1.8,69.2,Kumamoto
316,11/13,12.400000000000002,2.0,69.8,Kumamoto
317,11/14,12.4,0.1,68.8,Kumamoto
318,11/15,11.8,0.0,67.4,Kumamoto
319,11/16,11.420000000000002,0.0,67.4,Kumamoto
320,11/17,11.959999999999999,4.5,73.0,Kumamoto
321,11/18,11.68,5.1,70.2,Kumamoto
322,11/19,12.2,6.9,74.2,Kumamoto
323,11/20,11.479999999999999,0.0,67.6,Kumamoto
324,11/21,9.68,0.0,73.8,Kumamoto
325,11/22,11.76,2.6,74.8,Kumamoto
326,11/23,12.14,2.6,73.6,Kumamoto
327,11/24,11.68,0.0,70.2,Kumamoto
328,11/25,11.8,7.2,73.8,Kumamoto
329,11/26,10.86,0.5,69.4,Kumamoto
330,11/27,10.319999999999999,2.3,70.6,Kumamoto
331,11/28,10.9,0.8,73.0,Kumamoto
332,11/29,11.3,2.5,78.8,Kumamoto
333,11/30,11.68,4.7,79.6,Kumamoto
334,12/1,11.280000000000001,0.5,72.0,Kumamoto
335,12/2,10.400000000000002,7.5,80.0,Kumamoto
336,12/3,10.65,2.5,76.25,Kumamoto
337,12/4,8.475,0.125,67.5,Kumamoto
338,12/5,8.375,1.125,68.5,Kumamoto
339,12/6,9.45,0.0,68.5,Kumamoto
340,12/7,8.8,3.625,73.0,Kumamoto
341,12/8,8.174999999999999,4.875,72.0,Kumamoto
342,12/9,6.425000000000001,4.375,69.25,Kumamoto
343,12/10,6.1,0.125,64.75,Kumamoto
344,12/11,6.750000000000001,0.5,72.25,Kumamoto
345,12/12,6.524999999999999,0.0,63.0,Kumamoto
346,12/13,8.225,8.0,75.0,Kumamoto
347,12/14,9.55,2.875,74.0,Kumamoto
348,12/15,8.3,3.375,72.5,Kumamoto
349,12/16,6.949999999999999,0.0,63.25,Kumamoto
350,12/17,6.800000000000001,4.75,71.0,Kumamoto
351,12/18,6.0,2.375,72.0,Kumamoto
352,12/19,5.875,0.0,69.75,Kumamoto
353,12/20,6.875,1.125,69.75,Kumamoto
354,12/21,7.750000000000001,5.5,78.75,Kumamoto
355,12/22,8.450000000000001,0.875,76.5,Kumamoto
356,12/23,4.9,0.0,72.5,Kumamoto
357,12/24,4.0,0.0,66.5,Kumamoto
358,12/25,3.4750000000000005,0.0,67.0,Kumamoto
359,12/26,3.675,3.75,74.75,Kumamoto
360,12/27,4.375,0.125,65.5,Kumamoto
361,12/28,6.15,3.75,71.0,Kumamoto
362,12/29,5.575,0.125,69.5,Kumamoto
363,12/30,5.375,4.75,75.0,Kumamoto
364,12/31,4.574999999999999,0.25,64.75,Kumamoto
365,2/29,10.4,3.0,71.0,Kumamoto
0,1/1,6.639999999999999,0.0,40.4,Tokyo
1,1/2,7.32,0.0,41.6,Tokyo
2,1/3,5.94,0.0,39.0,Tokyo
3,1/4,5.58,0.0,39.8,Tokyo
4,1/5,5.660000000000001,0.5,39.4,Tokyo
5,1/6,5.86,0.0,36.2,Tokyo
6,1/7,5.6,0.0,36.8,Tokyo
7,1/8,6.639999999999999,3.1,43.6,Tokyo
8,1/9,6.62,0.8,50.4,Tokyo
9,1/10,5.24,0.0,36.8,Tokyo
10,1/11,4.86,0.0,41.6,Tokyo
11,1/12,4.54,1.3,46.0,Tokyo
12,1/13,5.6,0.0,38.4,Tokyo
13,1/14,4.08,12.8,43.2,Tokyo
14,1/15,4.1,0.0,44.8,Tokyo
15,1/16,3.78,0.0,42.2,Tokyo
16,1/17,4.98,0.0,37.8,Tokyo
17,1/18,4.94,0.0,40.4,Tokyo
18,1/19,6.06,0.0,44.8,Tokyo
19,1/20,6.14,1.8,48.2,Tokyo
20,1/21,6.839999999999999,3.4,51.2,Tokyo
21,1/22,6.0,1.5,52.2,Tokyo
22,1/23,6.0,4.6,48.8,Tokyo
23,1/24,5.66,1.3,56.2,Tokyo
24,1/25,6.68,0.0,46.4,Tokyo
25,1/26,5.7,0.0,38.4,Tokyo
26,1/27,5.06,0.0,35.0,Tokyo
27,1/28,6.540000000000001,0.0,40.6,Tokyo
28,1/29,6.4,0.0,40.6,Tokyo
29,1/30,6.780000000000001,0.3,41.6,Tokyo
30,1/31,6.38,0.0,40.2,Tokyo
31,2/1,6.720000000000001,6.3,49.6,Tokyo
32,2/2,7.5,0.3,53.8,Tokyo
33,2/3,7.320000000000002,0.1,48.0,Tokyo
34,2/4,6.460000000000001,1.0,50.8,Tokyo
35,2/5,6.040000000000001,0.0,40.2,Tokyo
36,2/6,4.499999999999999,4.0,55.4,Tokyo
37,2/7,6.38,5.7,53.2,Tokyo
38,2/8,4.74,6.1,47.8,Tokyo
39,2/9,6.26,1.4,48.4,Tokyo
40,2/10,6.42,0.0,45.0,Tokyo
41,2/11,4.04,4.2,56.6,Tokyo
42,2/12,3.9,0.9,54.6,Tokyo
43,2/13,4.9399999999999995,1.8,50.8,Tokyo
44,2/14,4.359999999999999,10.6,64.4,Tokyo
45,2/15,5.5,18.0,67.8,Tokyo
46,2/16,4.8,0.3,49.6,Tokyo
47,2/17,5.64,0.4,50.6,Tokyo
48,2/18,5.0,15.8,49.8,Tokyo
49,2/19,5.0600000000000005,0.1,44.0,Tokyo
50,2/20,5.760000000000001,0.2,43.6,Tokyo
51,2/21,6.26,0.0,38.6,Tokyo
52,2/22,6.3,0.0,48.6,Tokyo
53,2/23,7.540000000000001,3.4,55.4,Tokyo
54,2/24,8.959999999999999,0.0,51.2,Tokyo
55,2/25,9.0,3.8,54.8,Tokyo
56,2/26,9.12,0.5,48.0,Tokyo
57,2/27,8.3,7.9,62.2,Tokyo
58,2/28,7.74,13.0,63.8,Tokyo
59,3/1,9.1,5.7,73.6,Tokyo
60,3/2,6.739999999999999,5.2,65.6,Tokyo
61,3/3,6.659999999999999,0.3,49.8,Tokyo
62,3/4,6.2,1.3,50.2,Tokyo
63,3/5,8.1,14.6,68.2,Tokyo
64,3/6,9.7,1.6,56.0,Tokyo
65,3/7,8.239999999999998,7.1,62.2,Tokyo
66,3/8,9.120000000000001,0.1,52.4,Tokyo
67,3/9,8.26,9.9,59.2,Tokyo
68,3/10,7.06,5.5,54.8,Tokyo
69,3/11,7.3,0.0,40.8,Tokyo
70,3/12,9.48,0.0,42.6,Tokyo
71,3/13,12.74,7.0,54.6,Tokyo
72,3/14,10.08,1.5,51.6,Tokyo
73,3/15,10.0,0.0,52.4,Tokyo
74,3/16,10.8,6.3,49.8,Tokyo
75,3/17,9.24,4.8,47.6,Tokyo
76,3/18,11.799999999999999,0.3,61.4,Tokyo
77,3/19,12.2,0.3,50.6,Tokyo
78,3/20,12.52,3.7,59.0,Tokyo
79,3/21,10.96,4.9,43.4,Tokyo
80,3/22,9.86,2.7,47.6,Tokyo
81,3/23,10.500000000000002,2.9,58.8,Tokyo
82,3/24,9.06,5.6,61.8,Tokyo
83,3/25,9.78,5.5,59.8,Tokyo
84,3/26,9.86,0.6,45.0,Tokyo
85,3/27,9.200000000000001,1.9,55.8,Tokyo
86,3/28,11.02,0.0,53.8,Tokyo
87,3/29,12.14,0.0,53.0,Tokyo
88,3/30,11.66,2.7,57.0,Tokyo
89,3/31,11.2,2.0,55.0,Tokyo
90,4/1,12.2,0.0,45.6,Tokyo
91,4/2,13.040000000000001,10.7,60.6,Tokyo
92,4/3,12.1,29.3,62.8,Tokyo
93,4/4,12.440000000000001,8.0,49.4,Tokyo
94,4/5,12.76,3.2,51.4,Tokyo
95,4/6,13.12,21.4,58.0,Tokyo
96,4/7,13.040000000000001,2.4,50.2,Tokyo
97,4/8,13.219999999999999,0.0,41.6,Tokyo
98,4/9,15.24,0.1,52.6,Tokyo
99,4/10,15.080000000000002,0.0,54.0,Tokyo
100,4/11,13.84,5.7,58.4,Tokyo
101,4/12,12.68,6.2,45.6,Tokyo
102,4/13,14.66,2.1,51.2,Tokyo
103,4/14,14.219999999999999,6.4,53.8,Tokyo
104,4/15,14.12,1.6,58.6,Tokyo
105,4/16,14.4,1.9,57.0,Tokyo
106,4/17,14.679999999999998,4.7,59.8,Tokyo
107,4/18,14.719999999999999,0.1,63.8,Tokyo
108,4/19,13.280000000000001,4.7,59.8,Tokyo
109,4/20,12.0,2.8,62.0,Tokyo
110,4/21,12.76,6.2,71.6,Tokyo
111,4/22,12.580000000000002,6.4,64.2,Tokyo
112,4/23,13.720000000000002,13.9,70.6,Tokyo
113,4/24,15.8,5.3,60.2,Tokyo
114,4/25,16.38,0.7,53.0,Tokyo
115,4/26,16.92,0.2,55.8,Tokyo
116,4/27,16.660000000000004,7.3,62.2,Tokyo
117,4/28,17.52,16.6,58.6,Tokyo
118,4/29,17.919999999999998,0.0,55.8,Tokyo
119,4/30,17.96,5.4,65.4,Tokyo
120,5/1,18.080000000000002,6.1,63.8,Tokyo
121,5/2,18.38,8.3,53.8,Tokyo
122,5/3,17.759999999999998,25.5,61.4,Tokyo
123,5/4,18.26,1.0,58.4,Tokyo
124,5/5,18.880000000000003,0.0,59.2,Tokyo
125,5/6,18.499999999999996,0.9,63.8,Tokyo
126,5/7,17.580000000000002,1.4,61.6,Tokyo
127,5/8,19.36,0.0,53.0,Tokyo
128,5/9,19.7,1.8,54.6,Tokyo
129,5/10,20.240000000000002,0.9,53.8,Tokyo
130,5/11,17.839999999999996,14.7,63.0,Tokyo
131,5/12,17.559999999999995,5.4,61.8,Tokyo
132,5/13,18.36,1.1,62.2,Tokyo
133,5/14,19.98,0.0,57.4,Tokyo
134,5/15,18.98,2.4,60.8,Tokyo
135,5/16,20.32,0.4,55.2,Tokyo
136,5/17,19.919999999999998,0.7,58.6,Tokyo
137,5/18,20.04,0.9,56.6,Tokyo
138,5/19,20.54,2.0,59.2,Tokyo
139,5/20,20.86,7.3,71.2,Tokyo
140,5/21,21.6,10.5,67.8,Tokyo
141,5/22,19.940000000000005,13.2,69.0,Tokyo
142,5/23,18.58,5.4,66.4,Tokyo
143,5/24,19.5,9.0,67.2,Tokyo
144,5/25,20.7,0.0,64.4,Tokyo
145,5/26,20.18,2.0,67.8,Tokyo
146,5/27,20.52,5.6,67.4,Tokyo
147,5/28,20.64,5.9,68.4,Tokyo
148,5/29,19.880000000000003,14.0,73.6,Tokyo
149,5/30,19.5,3.4,70.8,Tokyo
150,5/31,20.22,0.2,58.6,Tokyo
151,6/1,20.2,0.3,59.4,Tokyo
152,6/2,20.1,2.0,65.6,Tokyo
153,6/3,21.0,0.1,66.4,Tokyo
154,6/4,22.76,0.2,63.4,Tokyo
155,6/5,21.619999999999997,4.7,70.2,Tokyo
156,6/6,21.24,25.5,69.0,Tokyo
157,6/7,21.28,12.3,70.4,Tokyo
158,6/8,21.479999999999997,2.2,72.4,Tokyo
159,6/9,21.46,7.9,73.6,Tokyo
160,6/10,22.880000000000003,0.6,71.0,Tokyo
161,6/11,21.68,10.8,76.0,Tokyo
162,6/12,21.54,6.9,79.0,Tokyo
163,6/13,21.559999999999995,14.6,76.2,Tokyo
164,6/14,21.42,6.4,73.0,Tokyo
165,6/15,23.02,0.4,67.8,Tokyo
